# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	286
#@/user_id	69f93761-ef11-41a2-8f14-307e889deef6
an zhuang 	安装	c=1 d=1 t=137
ba 	把	c=2 d=1.90937 t=228
bian 	边	c=0 d=0.1 t=128
bian liang 	变量	c=1 d=1 t=185
bian yi 	编译	c=3 d=2.82971 t=130
bian yi wan cheng 	边已完成	c=1 d=1 t=129
biao qian 	标签	c=2 d=1.956 t=265
biao shi 	表示	c=1 d=1 t=26
bing 	并	c=6 d=4.47757 t=156
bing mei you 	并没有	c=1 d=1 t=241
bing zhen 	冰震	c=1 d=1 t=47
bu 	不	c=1 d=1 t=274
bu dai 	不带	c=1 d=1 t=229
bu shi 	不是	c=1 d=1 t=273
bu yao 	不要	c=1 d=1 t=70
can shu 	参数	c=0 d=0.1 t=285
cha 	差	c=1 d=1 t=17
cha zhi 	差值	c=1 d=1 t=23
chang shu 	常数	c=1 d=1 t=186
cheng 	成	c=1 d=1 t=104
cheng xu 	程序	c=1 d=1 t=100
chong xin 	重新	c=1 d=1 t=246
chu li 	处理	c=4 d=3.41344 t=258
chui ji 	锤击	c=1 d=1 t=49
cong 	从	c=1 d=1 t=135
cong zhong 	从中	c=1 d=1 t=226
dai 	待	c=1 d=1 t=252
dai ma 	代码	c=9 d=5.86649 t=250
dai tong 	带通	c=1 d=1 t=212
dao ru 	导入	c=1 d=1 t=80
de 	的	c=9 d=5.59535 t=285
di er ge 	第二个	c=1 d=1 t=218
di zhen 	地震	c=1 d=1 t=160
dian 	点	c=1 d=1 t=220
dian hua 	电话	c=1 d=1 t=3
diao 	掉	c=1 d=1 t=133
dong tu 	动图	c=1 d=1 t=182
dui ying 	对应	c=1 d=1 t=236
dui ying dian 	对应点	c=1 d=1 t=248
dui yu 	对于	c=1 d=1 t=165
duo zuo 	多做	c=1 d=1 t=267
er shi 	而是	c=1 d=1 t=242
fen 	分	c=2 d=1.50916 t=206
fen ge 	分割	c=3 d=2.67887 t=280
fen zhong 	分钟	c=3 d=2.81078 t=38
fu shu 	复数	c=1 d=1 t=170
gan jing 	干净	c=1 d=1 t=219
ge shi 	格式	c=1 d=1 t=66
gei chu 	给出	c=1 d=1 t=245
gen hao 	根号	c=1 d=1 t=177
geng gai 	更改	c=1 d=1 t=169
geng hao 	更好	c=1 d=1 t=272
guo 	过	c=1 d=1 t=213
han shu 	函数	c=1 d=1 t=167
hao 	好	c=2 d=1.75957 t=278
hao de 	好的	c=2 d=1.76721 t=277
he 	和	c=3 d=2.04938 t=141
hen bu cuo 	很不错	c=1 d=1 t=222
hou 	后	c=2 d=1.52729 t=259
hou xu 	后续	c=1 d=1 t=266
hui 	会	c=1 d=1 t=271
hui da 	回答	c=1 d=1 t=164
hui zhi 	绘制	c=1 d=1 t=181
ji suan 	计算	c=2 d=1.46301 t=174
jia 	加	c=1 d=1 t=33
jia 	夹	c=2 d=1.94176 t=109
jian ce 	检测	c=1 d=1 t=203
jiang 	将	c=1 d=1 t=150
jiang qi 	将其	c=1 d=1 t=106
jiao cheng 	教程	c=1 d=1 t=44
jing tong 	精通	c=1 d=1 t=144
kai 	开	c=3 d=2.5777 t=175
kai yuan 	开源	c=1 d=1 t=193
kan chu lai 	看出来	c=1 d=1 t=215
ke yi 	可以	c=1 d=1 t=221
ku 	库	c=2 d=1.92774 t=93
lai 	来	c=1 d=1 t=91
lao 	老	c=1 d=1 t=125
le 	了	c=2 d=1.63763 t=216
li 	里	c=1 d=1 t=76
lian jie 	链接	c=2 d=1.87372 t=119
liang zhong 	两种	c=1 d=1 t=207
ma 	嘛	c=1 d=1 t=214
mei yi ju 	每一句	c=1 d=1 t=202
mei you 	没有	c=1 d=1 t=208
ming 	名	c=1 d=1 t=232
ni 	你	c=0 d=0.1 t=138
ni zuo wen 	你作文	c=1 d=1 t=139
pei dui 	配对	c=1 d=1 t=275
pi ka 	皮卡	c=0 d=0.1 t=56
pi ka yu 	皮卡鱼	c=1 d=1 t=57
pin yin 	拼音	c=0 d=0.1 t=1
qi 	其	c=1 d=1 t=111
qi zhong 	其中	c=1 d=1 t=123
qie guo 	切过	c=1 d=1 t=210
qing 	请	c=3 d=2.22357 t=149
qing chu 	清除	c=1 d=1 t=132
qu chu 	取出	c=1 d=1 t=233
ru he 	如何	c=13 d=7.18951 t=225
ruan jian 	软件	c=3 d=2.44998 t=199
san ci 	三次	c=2 d=1.9802 t=176
shang 	上	c=2 d=1.90484 t=32
she ying 	摄影	c=1 d=1 t=138
